NM_MUN,area_calc_km2
Santo Antônio do Jardim,109.94995918593753
Pirajuí,827.3412142593903
Monte Azul Paulista,264.20796525093573
Irapuã,258.734460073181
Tabapuã,347.018560412377
Mirante do Paranapanema,1253.957886838378
Araçoiaba da Serra,255.5632496097149
União Paulista,79.49991778961862
Palestina,700.956869672493
Novais,118.16147665633423
Igaratá,292.818789935032
Jandira,17.451364211209587
Terra Roxa,222.0287389013467
Fernando Prestes,170.47249871676556
Braúna,196.50067427706503
Dirce Reis,88.81721044380578
Brejo Alegre,106.37117198438071
Campinas,794.7997370093263
Dourado,206.31194120218203
Fernão,100.96882751912366
Peruíbe,326.29132247176295
Patrocínio Paulista,603.2136648773281
Álvares Florence,364.49462083306736
General Salgado,497.888006635919
